nfe,time,best_f,best_P,instance,seed,num_units,num_sensors
2100,986,0.19,"[<ptreeopt.tree.PTree object at 0x155520911ca0>
 <ptreeopt.tree.PTree object at 0x155520911eb0>
 <ptreeopt.tree.PTree object at 0x155520911e80>
 <ptreeopt.tree.PTree object at 0x155520911fa0>
 <ptreeopt.tree.PTree object at 0x155520920580>
 <ptreeopt.tree.PTree object at 0x1555209208b0>
 <ptreeopt.tree.PTree object at 0x155520920400>
 <ptreeopt.tree.PTree object at 0x155520920f40>
 <ptreeopt.tree.PTree object at 0x155517097b50>
 <ptreeopt.tree.PTree object at 0x1555170975e0>]",3,0,10,3
2200,1034,0.19,"[<ptreeopt.tree.PTree object at 0x155520911ca0>
 <ptreeopt.tree.PTree object at 0x155520911eb0>
 <ptreeopt.tree.PTree object at 0x155520911e80>
 <ptreeopt.tree.PTree object at 0x155520911fa0>
 <ptreeopt.tree.PTree object at 0x155520920580>
 <ptreeopt.tree.PTree object at 0x1555209208b0>
 <ptreeopt.tree.PTree object at 0x155520920400>
 <ptreeopt.tree.PTree object at 0x155520920f40>
 <ptreeopt.tree.PTree object at 0x155517097b50>
 <ptreeopt.tree.PTree object at 0x1555170975e0>]",3,0,10,3
2300,1079,0.19,"[<ptreeopt.tree.PTree object at 0x155520911ca0>
 <ptreeopt.tree.PTree object at 0x155520911eb0>
 <ptreeopt.tree.PTree object at 0x155520911e80>
 <ptreeopt.tree.PTree object at 0x155520911fa0>
 <ptreeopt.tree.PTree object at 0x155520920580>
 <ptreeopt.tree.PTree object at 0x1555209208b0>
 <ptreeopt.tree.PTree object at 0x155520920400>
 <ptreeopt.tree.PTree object at 0x155520920f40>
 <ptreeopt.tree.PTree object at 0x155517097b50>
 <ptreeopt.tree.PTree object at 0x1555170975e0>]",3,0,10,3
2400,1127,0.19,"[<ptreeopt.tree.PTree object at 0x155520911ca0>
 <ptreeopt.tree.PTree object at 0x155520911eb0>
 <ptreeopt.tree.PTree object at 0x155520911e80>
 <ptreeopt.tree.PTree object at 0x155520911fa0>
 <ptreeopt.tree.PTree object at 0x155520920580>
 <ptreeopt.tree.PTree object at 0x1555209208b0>
 <ptreeopt.tree.PTree object at 0x155520920400>
 <ptreeopt.tree.PTree object at 0x155520920f40>
 <ptreeopt.tree.PTree object at 0x155517097b50>
 <ptreeopt.tree.PTree object at 0x1555170975e0>]",3,0,10,3
2500,1174,0.19,"[<ptreeopt.tree.PTree object at 0x155520911ca0>
 <ptreeopt.tree.PTree object at 0x155520911eb0>
 <ptreeopt.tree.PTree object at 0x155520911e80>
 <ptreeopt.tree.PTree object at 0x155520911fa0>
 <ptreeopt.tree.PTree object at 0x155520920580>
 <ptreeopt.tree.PTree object at 0x1555209208b0>
 <ptreeopt.tree.PTree object at 0x155520920400>
 <ptreeopt.tree.PTree object at 0x155520920f40>
 <ptreeopt.tree.PTree object at 0x155517097b50>
 <ptreeopt.tree.PTree object at 0x1555170975e0>]",3,0,10,3
2600,1219,0.19,"[<ptreeopt.tree.PTree object at 0x155520911ca0>
 <ptreeopt.tree.PTree object at 0x155520911eb0>
 <ptreeopt.tree.PTree object at 0x155520911e80>
 <ptreeopt.tree.PTree object at 0x155520911fa0>
 <ptreeopt.tree.PTree object at 0x155520920580>
 <ptreeopt.tree.PTree object at 0x1555209208b0>
 <ptreeopt.tree.PTree object at 0x155520920400>
 <ptreeopt.tree.PTree object at 0x155520920f40>
 <ptreeopt.tree.PTree object at 0x155517097b50>
 <ptreeopt.tree.PTree object at 0x1555170975e0>]",3,0,10,3
2700,1266,0.19,"[<ptreeopt.tree.PTree object at 0x155520911ca0>
 <ptreeopt.tree.PTree object at 0x155520911eb0>
 <ptreeopt.tree.PTree object at 0x155520911e80>
 <ptreeopt.tree.PTree object at 0x155520911fa0>
 <ptreeopt.tree.PTree object at 0x155520920580>
 <ptreeopt.tree.PTree object at 0x1555209208b0>
 <ptreeopt.tree.PTree object at 0x155520920400>
 <ptreeopt.tree.PTree object at 0x155520920f40>
 <ptreeopt.tree.PTree object at 0x155517097b50>
 <ptreeopt.tree.PTree object at 0x1555170975e0>]",3,0,10,3
2800,1316,0.19,"[<ptreeopt.tree.PTree object at 0x155520911ca0>
 <ptreeopt.tree.PTree object at 0x155520911eb0>
 <ptreeopt.tree.PTree object at 0x155520911e80>
 <ptreeopt.tree.PTree object at 0x155520911fa0>
 <ptreeopt.tree.PTree object at 0x155520920580>
 <ptreeopt.tree.PTree object at 0x1555209208b0>
 <ptreeopt.tree.PTree object at 0x155520920400>
 <ptreeopt.tree.PTree object at 0x155520920f40>
 <ptreeopt.tree.PTree object at 0x155517097b50>
 <ptreeopt.tree.PTree object at 0x1555170975e0>]",3,0,10,3
2900,1363,0.19,"[<ptreeopt.tree.PTree object at 0x155520911ca0>
 <ptreeopt.tree.PTree object at 0x155520911eb0>
 <ptreeopt.tree.PTree object at 0x155520911e80>
 <ptreeopt.tree.PTree object at 0x155520911fa0>
 <ptreeopt.tree.PTree object at 0x155520920580>
 <ptreeopt.tree.PTree object at 0x1555209208b0>
 <ptreeopt.tree.PTree object at 0x155520920400>
 <ptreeopt.tree.PTree object at 0x155520920f40>
 <ptreeopt.tree.PTree object at 0x155517097b50>
 <ptreeopt.tree.PTree object at 0x1555170975e0>]",3,0,10,3
3000,1411,0.19,"[<ptreeopt.tree.PTree object at 0x155520911ca0>
 <ptreeopt.tree.PTree object at 0x155520911eb0>
 <ptreeopt.tree.PTree object at 0x155520911e80>
 <ptreeopt.tree.PTree object at 0x155520911fa0>
 <ptreeopt.tree.PTree object at 0x155520920580>
 <ptreeopt.tree.PTree object at 0x1555209208b0>
 <ptreeopt.tree.PTree object at 0x155520920400>
 <ptreeopt.tree.PTree object at 0x155520920f40>
 <ptreeopt.tree.PTree object at 0x155517097b50>
 <ptreeopt.tree.PTree object at 0x1555170975e0>]",3,0,10,3
