nfe,time,best_f,best_P,instance,seed,manhattan_diam,num_units,num_sensors
2100,72,0.66,"[<ptreeopt.tree.PTree object at 0x15552810d9d0>
 <ptreeopt.tree.PTree object at 0x15552810d340>
 <ptreeopt.tree.PTree object at 0x15552810da00>
 <ptreeopt.tree.PTree object at 0x15552810d1f0>
 <ptreeopt.tree.PTree object at 0x15552810d190>
 <ptreeopt.tree.PTree object at 0x15552810da30>
 <ptreeopt.tree.PTree object at 0x155528397f10>
 <ptreeopt.tree.PTree object at 0x155520efb700>
 <ptreeopt.tree.PTree object at 0x155520efb820>
 <ptreeopt.tree.PTree object at 0x155520f10040>]",3,0,10,10,10
2200,75,0.66,"[<ptreeopt.tree.PTree object at 0x15552810d9d0>
 <ptreeopt.tree.PTree object at 0x15552810d340>
 <ptreeopt.tree.PTree object at 0x15552810da00>
 <ptreeopt.tree.PTree object at 0x15552810d1f0>
 <ptreeopt.tree.PTree object at 0x15552810d190>
 <ptreeopt.tree.PTree object at 0x15552810da30>
 <ptreeopt.tree.PTree object at 0x155528397f10>
 <ptreeopt.tree.PTree object at 0x155520efb700>
 <ptreeopt.tree.PTree object at 0x155520efb820>
 <ptreeopt.tree.PTree object at 0x155520f10040>]",3,0,10,10,10
2300,79,0.66,"[<ptreeopt.tree.PTree object at 0x15552810d9d0>
 <ptreeopt.tree.PTree object at 0x15552810d340>
 <ptreeopt.tree.PTree object at 0x15552810da00>
 <ptreeopt.tree.PTree object at 0x15552810d1f0>
 <ptreeopt.tree.PTree object at 0x15552810d190>
 <ptreeopt.tree.PTree object at 0x15552810da30>
 <ptreeopt.tree.PTree object at 0x155528397f10>
 <ptreeopt.tree.PTree object at 0x155520efb700>
 <ptreeopt.tree.PTree object at 0x155520efb820>
 <ptreeopt.tree.PTree object at 0x155520f10040>]",3,0,10,10,10
2400,82,0.66,"[<ptreeopt.tree.PTree object at 0x15552810d9d0>
 <ptreeopt.tree.PTree object at 0x15552810d340>
 <ptreeopt.tree.PTree object at 0x15552810da00>
 <ptreeopt.tree.PTree object at 0x15552810d1f0>
 <ptreeopt.tree.PTree object at 0x15552810d190>
 <ptreeopt.tree.PTree object at 0x15552810da30>
 <ptreeopt.tree.PTree object at 0x155528397f10>
 <ptreeopt.tree.PTree object at 0x155520efb700>
 <ptreeopt.tree.PTree object at 0x155520efb820>
 <ptreeopt.tree.PTree object at 0x155520f10040>]",3,0,10,10,10
2500,86,0.66,"[<ptreeopt.tree.PTree object at 0x15552810d9d0>
 <ptreeopt.tree.PTree object at 0x15552810d340>
 <ptreeopt.tree.PTree object at 0x15552810da00>
 <ptreeopt.tree.PTree object at 0x15552810d1f0>
 <ptreeopt.tree.PTree object at 0x15552810d190>
 <ptreeopt.tree.PTree object at 0x15552810da30>
 <ptreeopt.tree.PTree object at 0x155528397f10>
 <ptreeopt.tree.PTree object at 0x155520efb700>
 <ptreeopt.tree.PTree object at 0x155520efb820>
 <ptreeopt.tree.PTree object at 0x155520f10040>]",3,0,10,10,10
2600,89,0.66,"[<ptreeopt.tree.PTree object at 0x15552810d9d0>
 <ptreeopt.tree.PTree object at 0x15552810d340>
 <ptreeopt.tree.PTree object at 0x15552810da00>
 <ptreeopt.tree.PTree object at 0x15552810d1f0>
 <ptreeopt.tree.PTree object at 0x15552810d190>
 <ptreeopt.tree.PTree object at 0x15552810da30>
 <ptreeopt.tree.PTree object at 0x155528397f10>
 <ptreeopt.tree.PTree object at 0x155520efb700>
 <ptreeopt.tree.PTree object at 0x155520efb820>
 <ptreeopt.tree.PTree object at 0x155520f10040>]",3,0,10,10,10
2700,93,0.66,"[<ptreeopt.tree.PTree object at 0x15552810d9d0>
 <ptreeopt.tree.PTree object at 0x15552810d340>
 <ptreeopt.tree.PTree object at 0x15552810da00>
 <ptreeopt.tree.PTree object at 0x15552810d1f0>
 <ptreeopt.tree.PTree object at 0x15552810d190>
 <ptreeopt.tree.PTree object at 0x15552810da30>
 <ptreeopt.tree.PTree object at 0x155528397f10>
 <ptreeopt.tree.PTree object at 0x155520efb700>
 <ptreeopt.tree.PTree object at 0x155520efb820>
 <ptreeopt.tree.PTree object at 0x155520f10040>]",3,0,10,10,10
2800,96,0.66,"[<ptreeopt.tree.PTree object at 0x15552810d9d0>
 <ptreeopt.tree.PTree object at 0x15552810d340>
 <ptreeopt.tree.PTree object at 0x15552810da00>
 <ptreeopt.tree.PTree object at 0x15552810d1f0>
 <ptreeopt.tree.PTree object at 0x15552810d190>
 <ptreeopt.tree.PTree object at 0x15552810da30>
 <ptreeopt.tree.PTree object at 0x155528397f10>
 <ptreeopt.tree.PTree object at 0x155520efb700>
 <ptreeopt.tree.PTree object at 0x155520efb820>
 <ptreeopt.tree.PTree object at 0x155520f10040>]",3,0,10,10,10
2900,100,0.66,"[<ptreeopt.tree.PTree object at 0x15552810d9d0>
 <ptreeopt.tree.PTree object at 0x15552810d340>
 <ptreeopt.tree.PTree object at 0x15552810da00>
 <ptreeopt.tree.PTree object at 0x15552810d1f0>
 <ptreeopt.tree.PTree object at 0x15552810d190>
 <ptreeopt.tree.PTree object at 0x15552810da30>
 <ptreeopt.tree.PTree object at 0x155528397f10>
 <ptreeopt.tree.PTree object at 0x155520efb700>
 <ptreeopt.tree.PTree object at 0x155520efb820>
 <ptreeopt.tree.PTree object at 0x155520f10040>]",3,0,10,10,10
3000,103,0.66,"[<ptreeopt.tree.PTree object at 0x15552810d9d0>
 <ptreeopt.tree.PTree object at 0x15552810d340>
 <ptreeopt.tree.PTree object at 0x15552810da00>
 <ptreeopt.tree.PTree object at 0x15552810d1f0>
 <ptreeopt.tree.PTree object at 0x15552810d190>
 <ptreeopt.tree.PTree object at 0x15552810da30>
 <ptreeopt.tree.PTree object at 0x155528397f10>
 <ptreeopt.tree.PTree object at 0x155520efb700>
 <ptreeopt.tree.PTree object at 0x155520efb820>
 <ptreeopt.tree.PTree object at 0x155520f10040>]",3,0,10,10,10
3100,106,0.66,"[<ptreeopt.tree.PTree object at 0x15552810d9d0>
 <ptreeopt.tree.PTree object at 0x15552810d340>
 <ptreeopt.tree.PTree object at 0x15552810da00>
 <ptreeopt.tree.PTree object at 0x15552810d1f0>
 <ptreeopt.tree.PTree object at 0x15552810d190>
 <ptreeopt.tree.PTree object at 0x15552810da30>
 <ptreeopt.tree.PTree object at 0x155528397f10>
 <ptreeopt.tree.PTree object at 0x155520efb700>
 <ptreeopt.tree.PTree object at 0x155520efb820>
 <ptreeopt.tree.PTree object at 0x155520f10040>]",3,0,10,10,10
3200,110,0.66,"[<ptreeopt.tree.PTree object at 0x15552810d9d0>
 <ptreeopt.tree.PTree object at 0x15552810d340>
 <ptreeopt.tree.PTree object at 0x15552810da00>
 <ptreeopt.tree.PTree object at 0x15552810d1f0>
 <ptreeopt.tree.PTree object at 0x15552810d190>
 <ptreeopt.tree.PTree object at 0x15552810da30>
 <ptreeopt.tree.PTree object at 0x155528397f10>
 <ptreeopt.tree.PTree object at 0x155520efb700>
 <ptreeopt.tree.PTree object at 0x155520efb820>
 <ptreeopt.tree.PTree object at 0x155520f10040>]",3,0,10,10,10
